tweets;1.kisi;2.kisi;3.kisi;total
sýðýnmacýlarýn tutuklu muamelesi görmesi kabul edilemez;0;0;0;0
izmir mülteci dayanýþma platformundan açýklama sýðýnmacýlarýn tutuklu muamelesi görmesi kabul edilemez;0;0;0;0
beynin uyuþmasýyla annesini dahi tanýmayan zavallýlar madde baðýmlýsý olmamak önce türlü ideolojiye baðýmlýlýktan kurtulmalý;0;0;0;0
þimdi böyle bir olayý bursa yapsalar gök yere inerdi pis ýrkçýlar faþistler hakaretin bini bir para olurdu haksýz mýyým olay kürtler katlediliyora kadar gider herkes bmyi etiketler göreve çaðýrýrdý;1;0;0;0
stefan zweig olmak figen dayýcýk fýrat yazdý;0;0;0;0
baþörtüsüyle okula alýnmayan genç kýz bakanlýk devreye girdi istanbul;1;0;0;0
flannery oconnor irkçý mýydý via;1;0;0;0
ab üyesi ülkelerin ýrk ayrýmcýlýðýna karþý kararlý bir duruþ göstermemesi nedeniyle 2 yýl önce ilan edilen avrupa birliði irkçýlýkla mücadele eylem planý hedeflerini gerçekleþtirmede yetersiz kaldý;0;0;0;0
saygýn kuruluþlarý olarak tanýnan birimleri yapmakla suçlanýyor 2020de tanýk olduðu ýrkçý hadiseleri bildiren çalýþanýn iþine johanniter tarafýndan son verilmiþ;0;0;0;0
prens charles yaparak siyahilere karþýlýk vermiyor bunlarýn neresi medeni uygar tarihde böyleydi þimdi böyleler deðiþmeyecekler;1;1;0;1
irkçýlýk kanlarýnda var kral charlestan siyahi vatandaþa skandal;0;0;0;0
yayýnlanan irkçý gerçeklikler araþtýrmasý ülkede ýrkçýlýðýn boyutlarý algýlanýþýna dair temsili veriler sunuyor orgun özcan yazdý;0;0;0;0
iki memuru tarafýndan þiddete maruz kalan suriyeli a hamawi hâlâ korku içinde olduklarýný söyledi;0;0;0;0
ders kitaplarýnýn hazýrlanmasý incelenmesi kimler tarafýndan yapýlýyor kitabý hazýrlayanlar zenci kavramýnýn irkçi bir ifade kitabý denetleyenler bunun irkçilarin bir argümaný olduðunu bilmiyor;0;0;0;0
2 bölüm devami islam milliyetçiliði nedir e islam milliyetçiliðini oluþturan unsurlar nelerdir islam insanlarý ikiye ayýrýr allahla berabersin allahýn taraftarýsýn müslümansýn deðilsin;0;0;0;0
göçmenlerin gündemi 10 eylül 16 eylül 2022;0;0;0;0
yavuz yiðit onun gibilerden irrite oluyorum zira öz savunma refleksi gösterenleri itham etmek ciddi tehlikeli bir ruh hastalýðý onun gibiler hücrelerini bile ýrkçýlýkla itham edebilirler https;0;0;0;0
dayanýþma hemen þimdi deniz güngören yazdý;0;0;0;0
göçmenlerin gündemi 27 aðustos 2 eylül 2022;0;0;0;0
toplumsal kriz dönemlerinde türkiyede azýnlýk olmakiþýl demirel 21 eylül çarþamba 1930 facebook;1;1;1;1
irkçýlarýn yükseliþi isveçte tehlike çanlarý isveçte sosyal demokratlar aþýrý saðýn önde gelen partisinindevamý;1;1;1;1
almanyada gündem artan ýrkçý polis saldýrýlarý almanyada dün bir polis devriyesinin devlete olan para cezasýný ödemediði suriyeli bir mülteciyi yere fýrlatarak uyguladýðý þiddet görüntüleri konuþuldu;0;0;0;0
450 yýl önce yapýlan 450 yýl öncesinde kalmýyor kafa ayný devam ediyor osmanlý devleti eden azýnlýklar yüzünden parçalanýrken vatanýn kurtuluþu çabalayan türkler ediyor suç;0;0;0;0
bir kavmin diðer kavimlere göre üstün olduðunu iddia eden düþüncesi dinimizce yasaklanmýþtýr yüce allahýn cc bizlere bildirdiðine göre üstünlük takvada dini hususlara karþý gösterilen hassasiyettedir;0;0;0;0
irkçýlýk bir insanlýk suçudur;1;1;1;1
yine türk kardeþlerimizin sevgi saldýrýlsana uðradýk;1;1;1;1
islamda ýrk renk dil farký gözetilmediðini herkesin eþit olduðunu namaz kýlarken rütbe ayrýmý yapýlmadýðýný gördüm müslüman oldum thomas clayton amerika yapanlar batýla hizmet ediyordur;0;0;0;0
islam bütün dilleri kutsal sayar milliyetçiliði oluþturan 6 tane unsuru yerle bir edip islam milliyetçiliðini inþa etmiþ bir peygamberin ümmetiyiz;0;0;0;0
erdoðan karþýtlarý olan parti kurumsanatçý aydýn vs akp den kurtuluþunun þovenizmi yeniden þahlandýrmaktan geçtiðini düþünüyorlar iyide esas mesele zaten;0;0;0;0
videonun tamamýný kesintisiz bir þekilde buradan izleyebilirsiniz;0;0;0;0
osmanlýyý türk milliyetçiliði deðil türklerden önce uyandýrýlan azýnlýklarýn ýrkçýlýðý yýkmýþtýr anlamayanlar türk milletinin son yyda engellense milliyetçilikle elde ettiði baþarýlardan ra;0;0;0;0
islam milliyetçiliði nedir dinleyen kardeþlerimiz konuyu anlayýp baþkalarýna ifade edebilecekler;0;0;0;0
milliyetçiliði oluþturan 6 tane unsur varislam ümmetinin bölünmesine sebep olan milliyetçilik þemsiyesi yapýlan ýrkçýlýðýn insanlýða olan zararlarýný ifade ettikislam milliyetçiliði nedir;0;1;1;1
bizde böyle bir olsa olurdu;1;0;1;1
fenerbahçe cumhuriyeti;0;0;0;0
burasý almanya bir otobüs duraðý covid aþýsýný teþvik bir reklam sende utanma yok allahtan kork;0;0;0;0
2021 yýlýnda iþlenen suçlarýnda yüzde 27 artýþ olduðu saptandý suçlarýn ana nedenleri olarak yabancý düþmanlýðý öne çýkýyor;0;0;0;0
adalet herkes eþit olmalýdýr;0;0;0;0
hitler belgeseli izliyorumlanetli pislik;0;0;0;0
faris muhammed al ali ýrkçý zihniyetin kurbanýdýr;0;0;0;0
üniversite öðrencisi faris muhammed alali öldürüldü;0;0;0;0
gündelik hayatý siyaseti hak temelli biçimde dönüþtürelim;1;1;1;1
göçmenleri geri göndermeye izin vermeyeceðiz yýldýz önen yazdý;0;0;0;0
arasýndaki farký gözetmeden ümmetçilik adýna kafa önce türk çocuklarýný araplaþtýrýp tuzaðýna çekiyor sonra türk milletini arabýn emellerine hi;0;0;0;0
sömürgeci tarihi olmayan türklerin ýrkçý bugünü bizler seviyeye gelmek aklýmýzda hangi fikirleri deðiþtirdik kendimize soralým;0;0;0;0
faris muhammed al ali ýrkçý zihniyetin kurbanýdýr hepimiz göçmeniz irkçýlýða hayýr platformunun açýklamasý;0;0;0;0
umarým dünyada ýrkçýlýðýn sona ereceði gün gelir;0;0;0;0
antakyada saldýrý üniversite öðrencisi faris muhammed alali öldürüldü antakyada ikamet eden suriyeli faris muhammed alalidevamý;0;0;0;0
söyleþi ermeni genelkurmay baþkaný olabilir mi konuþmacý roni margulies 7 eylül çarþamba 1930 skype üzerinden takip edilebilir iletiþim 05362196341;0;1;1;1
türk düþmaný dediði vakfýmýz ihh göðsünde taþýdýðý þanlý türk bayraðýmýz 49 ülkede 150 binden fazla yetime kol kanat geren ümit özdaðýn doðduðu japonya dahil milyonlarca insana yardým eli uzatan bir kurumuz;0;0;0;0
ingiltere acun ilýcalýya soruþturma baþlatmak harekete geçti haberi okugt;0;0;0;0
hale geldik göðsümüzü gere gere pis yüzünden diyemedik anýlan 1 algýsý oluþturdular maðduriyet halen sürüyor günümüzün kullanýþlý aparatý türk ismi oldu islam düþmaný hýrsýzý arsýzý kullandý;0;0;0;0
böyle bi caniliði kimlerin yapabileceði aþikar kýnýyoruz;0;0;0;0
ülkemizde mültecilere karþý faþist söylemde bulunan herkesin elindedir kan yetim ahirette sizlerden soracak bunun hesabýný;0;0;0;0
hepimizin hayali var týpký fares irkçýlýðýnýz yerin dibine batsýn cennet sana mübarek olsun kardeþim;1;1;1;1
herþeye raðmen hayalleri vardý istediniz kardeþten;0;0;0;0
ülke zaman yetimin vahþice öldürüldüðü bir yer oldu katillerin bir an evvel aðýr þekilde cezalandýrýlmasýný istiyoruz;1;0;0;0
mutlu musunuz eyyy insanlýk yoksunu icimizdeki pislik kafirler inþallah sizlerde birgün bir yerlere kaçarsýnýz orada sizi it sürüleri taþlatlar ozaman irkçilik kadar iðrenç oldugunu anlarsiniz sizde yüz bile yok haysiyetsiz insan bozuntulari;0;0;0;0
psikopolitik açýdan önyargý amp ayrýmcýlýk dr salih murat paker 2012 içgrup dýþgrup ben biznarsisizmi via;0;0;0;0
özgür hoþgörülü bi ülkede yaþadýðýmý düþünürken arkadaþýmla arabada otururken iki ekip arabasý yanaþtý gbt sorgulamasý yapýlýrken sakalým doðum yerimden dolayý ýrkçýlýða maruz kaldým desem inanýr mýsýnýz;0;0;0;0
sosyalist iþçi gazetesi 706 sayý çýktý sosyalist iþçinin yeni sayýsýnda dünya türkiye sosyalizm hakkýnda birçok haber yorumlar yer alýyor okumak indirmek týklayýn;0;0;0;0
ingiltere muhafazakarlarýn ýrkçý ruanda planlarýna karþý protesto;0;0;0;0
göçmenlerin avlandýðý günler;0;0;0;0
afgan göçmenler türkiye iranda kötü muameleye maruz kalýyor;0;0;0;0
sosyalist iþçi gazetesi 706 sayý çýktý;0;0;0;0
göçmenlerin avlandýðý günler ingilterede devlet göçmenleredevamý;0;0;0;0
kötü huylu kanser ingilterede ýrkçýlýk saðlýk hizmetlerine sýçradý ülkedeki afrikalý asyalýlarýn kanser teþhisi avrupalý insanlardan uzun süre beklemek zorunda kaldýðý ortaya çýktý tedavinin gecikmesine ölümlerin artmasýna oldu;1;1;1;1
almanyada camiye ýrkçý tehdit mektubu;0;1;1;1
barnstorftaki mevlana camisine türklerin hepsini öldüreceðiz notunun bulunduðu bir ýrkçý tehdit mektubu gönderildi;0;0;0;0
kürt medyasýnda medyanýn türkiye irak iran suriye batý kaynaklý olmasý fark etmez kerkükte iþid saldýrýsý 1 kürt çoban yaþamýný yitirdi ölen kiþi olmasa bile sayýlmayacak arap türkmen olsa bile yapýlmayacak;0;0;0;0
irkçýlýk olursa olsun hangi þartlarda olursa olsun kabul edilemez bir insanlik suçudur;0;0;0;0
müslüman görüntüsü altinda gözetmeden hatýrýna zihniyet milletimizi arabýn iþbirlikçisi milletlerin hizmetçi ediyor;0;0;0;0
türk bayraðýný yakan antwerp taraftarlarý ayrýca attýðý sloganlar maça gelen türk taraftarlarý provoke etmeye baþladý;1;1;1;1
almanyada demokrasi diken üstünde almanyada insan haklarý alanýnda faaliyet gösteren amadeu antonio vakfý bir analizinde neonazi oluþumlarýn yýl içinde büyüdüðüne dikkat çekti;0;1;1;1
federer ýrkçýlýk tartýþmasý;0;0;0;0
müslümanlaþmaya çalýþýrken fark edecek kadar düþünemiyorlar anlamadan milliyetçiliði ayaklar altýna almanýn tuzaðýna çektiðini göremiyorlar;0;0;1;0
almanyada enerji krizi ýrkçý saldýrýlar üzerine almanya yakýcý derecede önemi olan soru nükleer termik santrallerin yeniden devreye alýnmasý yaþanacak enerji krizine çözüm olur;0;0;0;0
söyleþi irkçýlýk nedir mücadele edebiliriz 31 aðustos çarþamba 1930;0;0;0;0
irkçýlýk nedir mücadele edebiliriz 31 aðustos çarþamba 1930 facebook etkinliði;0;0;0;0
milletimizi özellikle gençlerimizi kandýrýyorlar tiktokta dönen siyaset meclisde dönmüyor aq ýrkçýlýktürkçülükkürtçülük üstünden siyaset yapýyorlar ortalýðý bir birine düþürüyorlar videolarý görenler rapor þikayet etsinler;0;0;0;0
waseem siddiqui yazdý gün sayýyor;1;1;1;1
16 yýllýk siyasi kariyerinizi biraz özetler misiniz ümit özdað zaferrr partisi gelecek siðinmacilar gidecekkk üzerine kaleme aldýðýnýz 16 yýllýk siyasi kariyerinizi özetlediðiniz teþekkür ederim;0;0;0;0
toplum sakinleþir mi garipliklerin ülkesindeyiz hukuk var devamý figen dayýcýk fýrat yazdý;1;1;1;1
insanlýk dýþý güney afrikada bile ýrkçýlýk bitti ekrem neyin kafasýný yaþýyor;1;1;1;1
irkçýlýða çaðýran bizden deðildir irkçýlýk savaþan bizden deðildir irkçýlýk üzere ölen bizden müslümanlardan deðildir hz muhammed sav;1;1;1;1
kürt halkýna ýrkçýlýk yapan birinekürt halkýnýn oy vermesi kürt halkýna hakarettir;0;0;0;0
türkiyede ýrkçýlýk var tartýþmalarý denebilir var olan ýrkçýlýðýn ýrkçýlýk olduðunu fark etmeyecek kadar normalleþtirilmi bir ýrkçýlýk var toplumda ötesi yok;0;0;0;0
göçmenlerin gündemi 1420 agustos;1;1;1;1
türklüðün tarihinde yoktur bir türk ýrkçýlýk yapýyorsa kesinlikle türk deðildir olamaz ümit özdaðýn aksine canlýyý yaradandan ötürü sever sayar sahipleniriz geri kalan bizim yok hükmündedir;1;1;1;1
celladýna aþýk olma durumunu bundan iyi anlatan bir tablo olabilir mi arapça yazýyý karalayan kiþi kiþilerin kafalarý kalpleri kullandýklarý renk kapkara;0;0;0;0
huzur hakký iðððslamistin ulusun hakkýný yemesi kalpazan argosunda hýrsýzlýk malý götür hasat anlamlarýna gelir;0;0;0;0
siyah olmayý ben mi seçtim hayýr beyaz olmayý sen mi seçtin hayýr ettiðin hakareti bana mi ediyorsun yoksa beni yaratana söylüyorsun bunu;0;0;0;0
irkçý kampanya sonucu salah alddin sýnýr dýþý edildi;0;0;0;0
kripto yahudi lulu khalifa ha uþaðkh ha;1;1;1;1
anlamadan hatýrýna milliyetçiliði ayaklar altýna alanlar türk milletini arabýn ýrkçý emellerine hizmetçi ediyor kendileri emperyalizmin fark etmiyorlar;0;0;0;0
irkçýlýk ideolojik bir düþünce deðil aksine psikolojik bir hastalýktýr malcolm x;0;0;0;0
chpli nasuh bektaþ tarafýndan tekrar gündeme getirilen 2019 yýlýna ait videoyla ilgili türkmeneli insan haklarý derneði baþkaný savaþ avcýnýn yaptýðý açýklama türk devletini köþeye sýkýþtýrmak isteyen hainler tarafýndan cýmbýzlanmýþtýr;0;0;0;0
5 soruda afgan göçmenlerin durumu röportaj;0;0;0;0
irkçýlýðý artýran nedenler basitçe iþsizlik korkusuna indirgenemez ziyadeekonomiksosyal politik bir kriz durumunda meydana gelen yabancý nüfusun yerleþim yeniden yapýlanma sürecinden kaynaklanan çeþitli þeylere bakmak gerekir;0;1;1;1
sosyalist iþçi 705 sayý çýktý okumak indirmek týklayýn;0;0;0;0
suriyenin hiçbir bölgesi geri dönüþlere müsait deðil;0;0;0;0
burasý artýk bizim evimiz þimdi kültürel politik bir diaspora anlatýsýnýn göçmenlerin waseem siddiqui yazdý;0;0;0;0
göçmenler sýnýrda mahsur kaldý bir çocuk öldü bir çocuk hasta;1;1;1;1
boluda ýrkçý saldýrý;0;0;0;0
göçmenlerin gündemi 814 aðustos;0;0;0;0
sorunlarýn yumaðýndaki eyyübiye;0;0;0;0
akrep panikte yaptýðýný dediðini bilmiyor hergün kendini ayaðýndan vuruyor;1;0;0;0
siyahi insanlara laf edenler onlara özeniyorlar farkýnda deðiller akýllýlar yerlerini dövme yapýyorlar orjinal renk güzel;0;0;0;0
ismail çataklýdan ümit özdaða sert tepki sen insan deðilsin;0;0;0;0
savaþma kaç sýðýn canýný kurtaranlara kuduz köpek diyerek þükran sun doðru okudum;0;0;0;0
yanýnda getirdiði deve sidiði ilacýný uyum uyum napýyoruz;0;0;0;0
sinirler gergin yalnýz büyük patlýyacak kallavî patlayacak ohal bahanesi koymayalým sayýn recep þaban ðötoðlan beyefendinin önüne;0;0;0;0
yapýlýr misalidir yapan bizden deðildir;0;0;0;0
sokak röportajý adý altýnda insanlarý eden haysiyet cellatlýðý yapanlar þikayet gerekmeksizin tespit edilip cezalandýrýlmalý insanlarý sokakta çevirip hak gaspý yapmak cezasýz kalmamalý;0;0;0;0
doðuda güneþin battiði çamurlu su birikintisinde gördüðü dulkarneyne yaparsan yap denilen halk cüc yecüc gog magog çin maçindir;1;1;1;1
müzoman ikinci 2 sýnýf kölelere eðlenmek yasak lo hýrbo;0;0;0;0
ilkel insanýn zihni franz boasçeviri dilek iþler hayýrlý onur hayýrlý franz boas kitabýnda ilkel insan modern insanýn düþünme biçimini belirlemeye çalýþýr;0;0;0;0
acilen sokak röportajý adý altýnda yapýlan provokatörlüðe son vermeli devletimiz kanunî düzenleme gelmeli böyle gazetecilik olmaz;0;0;0;0
fikrinisiyasi tercihini beðenmediði insanlara maymun yakýþtýrmasý yapmakla ýrkçý avrupalýlarýn afrikalýlara maymun demesi arasýnda fark var ümit özdaðgeert wilders dersek doðru bir benzetme yapmýþ olur muyuz;1;0;1;1
bayraklý kortejler jineps gazetesi ferhat kentel yazdý;0;0;0;0
sosyalist iþçi 705 sayý çýktý sosyalist iþçi gazetesinin yeni sayýsýnda dünya türkiye sosyalizm hakkýnda birçok haber yorumlar yer alýyor;0;0;0;0
dan batýlýlar dan korkar bizim yapan vatandaþlarýmýzýn bile sloganlarý araplar siyahiler çekik gözlü elemanlar üzerine kuruludur türklerin kafasýnda batý tasavvuru bambaþka;0;0;0;0
kartal cemevi baþkanýna evinin önünde saldýrý detaylar;0;0;0;0
büyükkent polisi eðitimlerinde ýrkçý tanýmlamalar kullanýldýðý türklerden özür diledi;0;0;0;0
irkçýlýða dur hepimiz ayný renkteyiz;0;0;0;0
son araþtýrmasý neredeyse eyaletinde polis yapýlarýndaki karþý tedbirlerin yetersizliðini ortaya koyuyor;0;0;0;0
olunca onlar kalabilir demesi tutunduðu ýrkçý tavrý bir gözler önüne serdiayrýca bunun kendince olmadýðýný savunmasý apayrý bir fýkra konusu yazýk onlarýn hiçbiri hayatý kendi iradesiyle seçmedi;1;1;1;1
alçak ýrkçýlar;0;0;0;0
mohamed isa abdullahla dayanýþmaya;0;0;0;0
ümit özdaðýn gazýna gelen kadýn kürt vatandaþlara ýrkçý sözler sarf etti;0;0;0;0
çocuk sahibi olmak isterler;0;1;1;1
demek anlaþýlmýþ türk düþmanlýðýdýr anlaþýlmalý anlamadan hatýrýna milliyetçiliði ayaklar altýna alanlar arabýn ýrkçý emellerinin;0;0;0;0
italyan halkýnýn diyn gaðdaþlaðmýza boðazýndan kesip harcadýðý fýsýr 0;0;0;0;0
5 soruda ýrkçý saldýrýlar göçmenler;0;0;0;0
frontex sýnýr kontrolü egedeki göçmenlerin geri itilmesi;0;0;0;0
burasý artýk bizim evimiz;0;0;0;0
somalililerle dayanýþma ziyareti;0;0;0;0
göçmenlerin gündemi 23 temmuz 31 temmuz;0;0;0;0
suriyelilerin bahçeþehir göletinden kaz çaldýðý iddiasý gerçek deðil bir kere hayvanlar kaz deðil ördek sahipleri suriyeli deðil bahçeþehirde oturan iraklý bir aile;0;0;0;0
göçmenlerin gündemi 2 temmuz 8 temmuz 2022 link;0;0;0;0
ebu davuddan rivayet edildiðine göre peygamber sallallahu aleyhi vesellem þöyle buyurmuþtur asabiyet çaðýran asabiyet savaþan asabiyet ölen bizden deðildir;0;0;0;0
ytb kayýtlarýna göre 2021 yýlýnda yurtdýþýndaki türk vatandaþlarýna yönelik 316 ýrkçýnefret kaynaklý saldýrý oldu saldýrýlarýn 42si almanyada 14ü hollandada 12si fransada kaydedildi;0;0;0;0
iþçinin hakkýný vermezsin kurumu batýrmak elinden geleni yaparsýn kayýp altýnlar tbmm arnavutköy pdm görev yapan daðýtýcýyý tc vatandaþý olduðu hakký olan sorununu meclis anlatmasý sizi rahatsýz etti kime yap;0;0;0;0
yine abd yine polis yine ýrkçý þiddet;0;0;0;0
üstünlük ancak takva iledirhalis bayancuk hoca;0;0;0;0
